Time,time-sampled,subscriber-count,tft-filter-count,pdp-active,eps-active-bearer,pdp-active-ipv6,eps-active-ipv6-bearer,active-3gdt,ratio-3gdt,pdn-geran-connections,pdn-utran-connections,pdn-eutran-connections,pdn-pgw-connections,pdn-ggsn-connections,pdn-pisc-connections,pdn-online-charging-connections,pdn-dynamic-policy-control-connections,pdn-suspended-connections,pdp-create-attempted__delta,pdp-created__delta,pdp-create-failed__delta,pdp-created-ipv6__delta,pdp-create-failed-ipv6__delta,eps-bearer-creation-attempted__delta,eps-bearer-creation__delta,eps-bearer-creation-failed__delta,eps-bearer-creation-ipv6__delta,eps-bearer-creation-ipv6-failed__delta,eps-s2b-bearer-creation-failed-ipv6__delta,global-eps-completed-dedicated-bearer-activation__delta,global-eps-failed-dedicated-bearer-activation__delta,global-eps-completed-ipv6-dedicated-bearer-activation__delta,global-eps-failed-ipv6-dedicated-bearer-activation__delta,pdp-update-attempted__delta,pdp-updates__delta,pdp-update-failed__delta,eps-bearer-modification-attempted__delta,eps-bearer-modification__delta,eps-bearer-modification-failed__delta,eps-bearer-qos-update-attempted__delta,eps-bearer-qos-update-completed__delta,pdp-successful-deactivations__delta,pdp-failed-deactivations__delta,pdp-deleted-by-idle-supervision__delta,pdp-deleted-by-session-supervision__delta,pdp-deleted-by-command__delta,eps-bearer-deactivation__delta,eps-bearer-deactivation-failed__delta,uplink_packets__delta,uplink_bytes__delta,uplink_dropped-packets__delta,uplink_packets-ipv6__delta,uplink_bytes-ipv6__delta,uplink_dropped-packets-ipv6__delta,downlink_packets__delta,downlink_bytes__delta,downlink_dropped-packets__delta,downlink_packets-ipv6__delta,downlink_bytes-ipv6__delta,downlink_dropped-packets-ipv6__delta,downlink_dropped-packets-suspended__delta,downlink_dropped-bytes-suspended__delta,radius-accounting-failure__delta,successful-3gdt-activations__delta,total-3gdt-request__delta,errors-3gdt__delta
2026-06-02 11:48:02,2026-06-02 11:48:03,690504,10154,45082,649139,8228,147183,24504,54,10448,34636,648328,686455,6946,686381,372172,677538,128,30529.0,12473.0,18057.0,1504.0,24.0,220983.0,106982.0,114011.0,23545.0,1.0,23224.0,120.0,0.0,93.0,0.0,445656.0,445495.0,154.0,2878120.0,2873701.0,1.0,1838.0,1702.0,22655.0,901.0,3333.0,6.0,0.0,207263.0,247.0,2633571133.0,792490491689.0,36892931.0,319878414.0,116722761003.0,9428923.0,6855529343.0,7709696520374.0,30330980.0,865529331.0,940404120425.0,1375333.0,42694.0,9734184.0,12050.0,164574.0,164583.0,101.0
2026-06-02 12:03:01,2026-06-02 12:03:03,690245,10166,45465,648603,8342,146891,24711,54,10358,35111,647793,686325,6929,685836,373907,677011,135,31368.0,12840.0,18529.0,1526.0,23.0,225163.0,110850.0,114294.0,23700.0,1.0,23384.0,124.0,0.0,93.0,0.0,451469.0,451340.0,136.0,2923411.0,2918739.0,0.0,1960.0,1777.0,23227.0,907.0,3172.0,10.0,0.0,211919.0,198.0,2693856131.0,800088960891.0,37518505.0,330253279.0,120009795052.0,9479540.0,7019925918.0,7912698132468.0,30615769.0,891515637.0,972434907945.0,1416924.0,46193.0,12568088.0,12895.0,167412.0,167417.0,101.0
2026-06-02 12:18:01,2026-06-02 12:18:04,691120,10166,45393,649678,8416,147196,24784,55,10416,34983,648876,687334,6933,686370,376367,677523,119,31826.0,13403.0,18420.0,1632.0,34.0,229736.0,115755.0,114004.0,24232.0,1.0,23943.0,86.0,1.0,71.0,0.0,455185.0,455034.0,150.0,2972821.0,2968448.0,1.0,1905.0,1771.0,23911.0,900.0,3214.0,5.0,0.0,215195.0,214.0,2721366311.0,798907950873.0,36338262.0,332162996.0,120625731885.0,9418162.0,7092134839.0,7992498325323.0,28482717.0,895096166.0,973288996838.0,1386275.0,52238.0,11478127.0,15092.0,169328.0,169343.0,91.0
2026-06-02 12:33:02,2026-06-02 12:33:04,690625,10138,44816,649882,8208,147360,24491,55,10430,34377,649093,686942,6930,685448,376960,676615,115,31856.0,12876.0,18983.0,1522.0,46.0,223279.0,109808.0,113462.0,23898.0,0.0,23557.0,119.0,1.0,88.0,0.0,441200.0,441061.0,140.0,2951491.0,2946970.0,3.0,1846.0,1711.0,23143.0,851.0,3330.0,5.0,0.0,210227.0,214.0,2747353935.0,804696471258.0,56270483.0,328411124.0,117577656066.0,9339029.0,7161426708.0,8081281685345.0,29100004.0,889868334.0,970874845042.0,1387295.0,46115.0,14258405.0,15780.0,164300.0,164307.0,113.0
2026-06-02 12:48:01,2026-06-02 12:48:03,689618,10170,44125,649606,7952,147417,24148,55,10420,33703,648801,685986,6931,684012,377471,675146,102,32222.0,12831.0,19389.0,1540.0,47.0,220398.0,107075.0,113325.0,22943.0,1.0,22672.0,108.0,0.0,76.0,0.0,424413.0,424270.0,143.0,2865910.0,2861529.0,1.0,1878.0,1742.0,22617.0,868.0,3339.0,10.0,0.0,208345.0,205.0,2751312812.0,816879741967.0,67980774.0,324205196.0,115662754810.0,9357022.0,7178707559.0,8113084710668.0,29029766.0,889458000.0,970994399955.0,1417241.0,35250.0,8657845.0,17159.0,159358.0,159374.0,104.0
2026-06-02 13:03:02,2026-06-02 13:03:03,689264,10166,43474,649919,7730,147439,23882,55,10420,33053,649123,685647,6941,683244,377309,674386,106,33288.0,14075.0,19213.0,1539.0,38.0,225047.0,111229.0,113822.0,23358.0,1.0,23011.0,89.0,0.0,61.0,0.0,411277.0,411126.0,141.0,2843332.0,2839098.0,0.0,1848.0,1711.0,23836.0,813.0,3380.0,5.0,0.0,212412.0,230.0,2794764179.0,821044192381.0,46406042.0,328603603.0,116105115295.0,9358693.0,7319937300.0,8288089572537.0,28978764.0,901890442.0,985575052295.0,1413828.0,38199.0,10747061.0,16270.0,154204.0,154211.0,90.0
2026-06-02 13:18:01,2026-06-02 13:18:03,687579,10194,42886,648943,7608,146769,23616,55,10365,32521,648148,684089,6936,681218,376741,672371,115,31856.0,12811.0,19049.0,1523.0,27.0,228764.0,115431.0,113318.0,23382.0,4.0,23182.0,80.0,0.0,55.0,0.0,400400.0,400271.0,139.0,2816816.0,2812670.0,2.0,1768.0,1644.0,22205.0,798.0,3407.0,11.0,0.0,217638.0,172.0,2825132050.0,815370302745.0,43469071.0,333584024.0,116734597911.0,8958629.0,7461514709.0,8458927072798.0,28970639.0,921042624.0,1008316510621.0,1328232.0,41827.0,9740718.0,18613.0,151391.0,151397.0,103.0
2026-06-02 13:33:01,2026-06-02 13:33:03,686558,10262,42507,648315,7386,146437,23482,55,10450,32062,647509,683051,6960,680107,375682,671224,111,31771.0,12657.0,19111.0,1510.0,36.0,225269.0,112332.0,112946.0,23922.0,1.0,23691.0,88.0,2.0,52.0,0.0,387605.0,387454.0,151.0,2784121.0,2780342.0,0.0,1758.0,1638.0,21774.0,748.0,3480.0,8.0,0.0,213837.0,200.0,2873563161.0,824306666553.0,57066552.0,337102027.0,118613908329.0,8406636.0,7581392332.0,8607082655320.0,28684660.0,932098979.0,1023378190670.0,1237678.0,36278.0,9746388.0,16493.0,146796.0,146803.0,113.0
2026-06-02 13:48:01,2026-06-02 13:48:03,685566,10224,41507,648363,7127,146288,22863,55,10383,31123,647551,682140,6905,678973,374129,670143,89,31992.0,12427.0,19567.0,1406.0,37.0,222725.0,109291.0,113431.0,23117.0,0.0,22888.0,94.0,0.0,69.0,0.0,375092.0,374949.0,143.0,2734839.0,2730869.0,3.0,1766.0,1622.0,21103.0,702.0,3524.0,7.0,0.0,211603.0,201.0,2886277313.0,830577811882.0,55883881.0,335546163.0,116546719306.0,8303810.0,7601739669.0,8634942466895.0,27870978.0,928772598.0,1022154069837.0,1281515.0,31578.0,7342905.0,17406.0,141888.0,141893.0,114.0
2026-06-02 14:03:01,2026-06-02 14:03:04,683960,10204,41243,647106,7157,145977,22746,55,10339,30899,646308,680639,6894,677338,372374,668524,84,31368.0,12448.0,18918.0,1438.0,29.0,225809.0,112839.0,112968.0,23642.0,2.0,23352.0,86.0,0.0,57.0,0.0,366575.0,366450.0,124.0,2683772.0,2680092.0,0.0,1700.0,1563.0,20645.0,655.0,3536.0,7.0,0.0,215729.0,187.0,2887604620.0,830851496836.0,62758216.0,332875910.0,118502195803.0,8022075.0,7606465313.0,8658598818203.0,28957999.0,912344637.0,1002487460528.0,1234390.0,37735.0,9683372.0,17173.0,139570.0,139578.0,100.0
