Time,sgwNumberOfUes-sgwNbrOfUes,sgwNumberOfUes-sgwNbrOfConnectedUes,sgwNumberOfUes-nbrOfSuspendedUes,sgwNumberOfSessions-sgwNbrOfPdnConnections,sgwNumberOfSessions-sgwNbrOfBearers,sgwNumberOfSessions-sgwNbrOfActiveBearers,sgwNumberOfSessions-sgwNbrOfIdleBearers,sgwDownlinkTraffic-sgwDroppedPacketsBufferOverflow,sgwDownlinkTraffic-sgwDroppedBytesBufferOverflow,sgwDownlinkTraffic-bufferedPacketsNormalPriority,sgwDownlinkTraffic-bufferedBytesNormalPriority,sgwGtpTunnelMgmtS5S8-smCreateSessionReqSent,sgwGtpTunnelMgmtS5S8-smCreateSessionRespAccRcvd,sgwGtpTunnelMgmtS5S8-smCreateSessionRespRejRcvd,sgwGtpTunnelMgmtS5S8-smModifyBearerReqSent,sgwGtpTunnelMgmtS5S8-smModifyBearerRespAccRcvd,sgwGtpTunnelMgmtS5S8-smModifyBearerRespRejRcvd,sgwGtpTunnelMgmtS5S8-smDeleteSessionReqSent,sgwGtpTunnelMgmtS5S8-smDeleteSessionRespAccRcvd,sgwGtpTunnelMgmtS5S8-smDeleteSessionRespRejRcvd,sgwGtpTunnelMgmtS5S8-smDeleteBearerReqRcvd,sgwGtpTunnelMgmtS5S8-smDeleteBearerRespAccSent,sgwGtpTunnelMgmtS5S8-smDeleteBearerRespRejSent,sgwGtpTunnelMgmtS5S8-smUpdateBearerReqRcvd,sgwGtpTunnelMgmtS5S8-smUpdateBearerRespAccSent,sgwGtpTunnelMgmtS5S8-smUpdateBearerRespRejSent,sgwGtpTunnelMgmtS5S8-smCreateBearerReqRcvd,sgwGtpTunnelMgmtS5S8-smCreateBearerRespAccSent,sgwGtpTunnelMgmtS5S8-smCreateBearerRespRejSent,sgwGtpTunnelMgmtS5S8-smModifyBearerCmdSent,sgwGtpTunnelMgmtS5S8-smModifyBearerFailureIndRcvd,sgwGtpTunnelMgmtS5S8-smDeleteBearerCmdSent,sgwGtpTunnelMgmtS5S8-smBearerResourceCmdSent,sgwGtpTunnelMgmtS5S8-smBearerResourceFailureIndRcvd,sgwGtpTunnelMgmtS5S8-smResumeNotifSent,sgwGtpTunnelMgmtS5S8-smSuspendNotifSent,sgwGtpPathMgmtS5S8-echoReqSent,sgwGtpPathMgmtS5S8-echoRespAccRcvd,sgwGtpPathMgmtS5S8-echoReqRcvd,sgwGtpPathMgmtS5S8-echoRespAccSent,sgwGtpTrafficS5S8-inDataPkt,sgwGtpTrafficS5S8-inDataByte,sgwGtpTrafficS5S8-outDataPkt,sgwGtpTrafficS5S8-outDataByte,sgwGtpTrafficS5S8-droppedInDataPkt,sgwGtpTrafficS1uS4S12-inDataPkt,sgwGtpTrafficS1uS4S12-inDataByte,sgwGtpTrafficS1uS4S12-outDataPkt,sgwGtpTrafficS1uS4S12-outDataByte,sgwGtpTrafficS1uS4S12-droppedInDataPkt,sgwUplinkTraffic-sgwUplinkDroppedPackets__delta,sgwUplinkTraffic-sgwUplinkDroppedBytes__delta,sgwDownlinkTraffic-sgwDownlinkDroppedPackets__delta,sgwDownlinkTraffic-sgwDownlinkDroppedBytes__delta,sgwDownlinkTraffic-droppedBytesSuspend__delta,sgwDownlinkTraffic-droppedPacketsSuspend__delta,sgwGtpErrorStats-sgwGtpErrorResourcesUnavailable__delta,handover-attemptedPdnHoFromNon3gpp__delta,handover-completedPdnHoFromNon3gpp__delta,sgwGtpPathMgmtS1S4S12U-echoReqSent__delta,sgwGtpPathMgmtS1S4S12U-echoRespRcvd__delta,sgwGtpPathMgmtS4S11-echoReqSent__delta,sgwGtpPathMgmtS4S11-echoRespAccRcvd__delta,sgwGtpPathMgmtS4S11-echoReqRcvd__delta,sgwGtpPathMgmtS4S11-echoRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smDeleteSessionReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smDeleteSessionRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smDeleteSessionRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smDeleteBearerReqSent__delta,sgwGtpTunnelMgmtS4S11-smDeleteBearerRespAccRcvd__delta,sgwGtpTunnelMgmtS4S11-smDeleteBearerRespRejRcvd__delta,sgwGtpTunnelMgmtS4S11-smDlDataNotifSent__delta,sgwGtpTunnelMgmtS4S11-smDlDataNotifAckAccRcvd__delta,sgwGtpTunnelMgmtS4S11-smDlDataNotifAckRejRcvd__delta,sgwGtpTunnelMgmtS4S11-smDlDataNotifFailureIndRcvd__delta,sgwGtpTunnelMgmtS4S11-smRelAccessBearersReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smRelAccessBearersRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smRelAccessBearersRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smUpdateBearerReqSent__delta,sgwGtpTunnelMgmtS4S11-smUpdateBearerRespAccRcvd__delta,sgwGtpTunnelMgmtS4S11-smUpdateBearerRespRejRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateBearerRespRejRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateBearerRespAccRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateBearerReqSent__delta,sgwGtpTunnelMgmtS4S11-smDeleteBearerFailureIndSent__delta,sgwGtpTunnelMgmtS4S11-smDeleteBearerCmdRcvd__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerCmdRcvd__delta,sgwGtpTunnelMgmtS4S11-smBearerResourceCmdRcvd__delta,sgwGtpTunnelMgmtS4S11-smBearerResourceFailureIndSent__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerFailureIndSent__delta,sgwGtpTunnelMgmtS4S11-smSuspendNotifRcvd__delta,sgwGtpTunnelMgmtS4S11-smResumeNotifRcvd__delta,sgwErrorIndication-errorIndicationRcvdAn__delta,sgwErrorIndication-errorIndicationSentAn__delta,sgwErrorIndication-errorIndicationRcvdPgw__delta,sgwErrorIndication-errorIndicationSentPgw__delta
2026-06-02 11:48:02,659471,134148,129,662684,663498,135744,527754,6760992865,4986420167977,16959,5197251,2056569662,1192636273,862354577,18188049483,18186668635,996945,136922610,136669296,222724,975623724,973199782,2410304,1256015052,1231684330,24322577,237520,235475,1827,1058,734,51222,1677,970,6087713,13858979,245324996,244773937,60920196,59023430,38545632450971,43011569845690427,17831232876341,5037852164438298,4321758,17831232876188,5037852164400607,38535710863583,43005444797983494,11129158,1542.0,590659.0,1969141.0,1060915213.0,42400.0,69.0,241.0,0.0,0.0,63353.0,58023.0,45.0,45.0,554.0,554.0,417468.0,335107.0,82147.0,6467871.0,6467721.0,149.0,257132.0,256465.0,653.0,77369.0,76946.0,302.0,2112156.0,2047525.0,64623.0,25280.0,4903216.0,4903217.0,4.0,227108.0,222375.0,4393.0,0.0,125.0,125.0,0.0,20.0,0.0,6.0,4.0,0.0,1435.0,440.0,2656.0,1542.0,20.0,17.0
2026-06-02 12:03:01,658945,136255,131,662267,663082,137931,525151,6762310443,4987283380992,17635,5355438,2056763606,1192748016,862436484,18190757792,18189376673,997141,136941233,136687877,222763,975703973,973279613,2410720,1256241684,1231906405,24327135,237651,235606,1827,1058,734,51246,1678,970,6088139,13860406,245350960,244799838,60926871,59029536,38552383058483,43019223343015460,17833806256685,5038635228964667,4322359,17833806256522,5038635228913668,38542459437834,43013097180031330,11131611,2453.0,739911.0,2033230.0,1115626846.0,43739.0,52.0,223.0,0.0,0.0,62876.0,57661.0,45.0,45.0,535.0,535.0,420258.0,337819.0,82224.0,6478600.0,6478387.0,169.0,257753.0,257167.0,566.0,80277.0,79835.0,312.0,2113429.0,2047912.0,65513.0,25478.0,4898080.0,4898078.0,3.0,227026.0,222080.0,4551.0,0.0,131.0,131.0,0.0,24.0,0.0,1.0,0.0,0.0,1450.0,426.0,9549.0,2453.0,25.0,14.0
2026-06-02 12:18:01,659755,137738,122,663222,664033,139427,524606,6763593087,4988116382922,16391,4886451,2056963837,1192865600,862518832,18193529712,18192148367,997331,136960017,136706604,222814,975788394,973363611,2411141,1256470297,1232130634,24331534,237741,235694,1828,1058,734,51258,1679,971,6088585,13861910,245377088,244825922,60933563,59035723,38559244354684,43027002521942314,17836416923824,5039421132022531,4323084,17836416923626,5039421131974486,38549318725723,43020875270161882,11133130,1519.0,539297.0,2010330.0,1089923639.0,32965.0,64.0,208.0,0.0,0.0,63204.0,58165.0,45.0,45.0,545.0,545.0,428556.0,345674.0,82672.0,6588220.0,6588057.0,137.0,260049.0,259424.0,619.0,84437.0,83992.0,327.0,2158033.0,2090176.0,67855.0,26204.0,4960916.0,4960912.0,2.0,228992.0,224231.0,4393.0,1.0,88.0,89.0,0.0,12.0,0.0,1.0,1.0,0.0,1518.0,444.0,2743.0,1519.0,10.0,88.0
2026-06-02 12:33:02,659725,136446,110,663238,664047,138129,525918,6764819619,4988901950865,15954,4542643,2057156006,1192976214,862600120,18196267624,18194886062,997497,136979257,136725779,222871,975867114,973441906,2411567,1256689887,1232345739,24336009,237860,235812,1829,1058,734,51283,1679,971,6089010,13863391,245403020,244851785,60940236,59041828,38566120461576,43034806539426453,17839055017826,5040209381956653,4323834,17839055017681,5040209381929991,38556192905320,43028678255708034,11135608,2478.0,1019276.0,1928436.0,1032833951.0,38198.0,72.0,203.0,0.0,0.0,62640.0,57783.0,45.0,45.0,539.0,539.0,411496.0,329744.0,81557.0,6510003.0,6509829.0,151.0,250834.0,250222.0,600.0,78760.0,78290.0,339.0,2105559.0,2038977.0,66576.0,25339.0,4902835.0,4902822.0,4.0,219982.0,215106.0,4470.0,1.0,118.0,120.0,0.0,25.0,0.0,0.0,0.0,0.0,1492.0,421.0,6091.0,2478.0,0.0,15.0
2026-06-02 12:48:01,659231,135307,107,662803,663614,137036,526578,6766033289,4989712488671,15695,4699658,2057345857,1193084284,862681659,18198936147,18197554323,997671,136998622,136745097,222911,975944006,973518388,2411976,1256899240,1232550739,24340359,237967,235919,1829,1058,734,51303,1680,972,6089417,13864649,245428982,244877707,60946950,59047954,38573024473293,43042653493690846,17841714270547,5041009872046686,4324860,17841714270405,5041009872012611,38563095022869,43036524154530853,11137959,2351.0,803116.0,1895467.0,1056040802.0,12435.0,36.0,203.0,0.0,0.0,62711.0,57869.0,45.0,45.0,529.0,529.0,399026.0,317032.0,81811.0,6386132.0,6385927.0,161.0,240402.0,239833.0,551.0,76913.0,76477.0,312.0,2071279.0,2005636.0,65639.0,24028.0,4814227.0,4814202.0,2.0,209731.0,205001.0,4345.0,0.0,107.0,107.0,0.0,20.0,0.0,1.0,1.0,0.0,1268.0,406.0,10180.0,2351.0,1.0,12.0
2026-06-02 13:03:02,659166,137682,108,662755,663567,139388,524179,6767294728,4990552074441,15638,5160497,2057542326,1193196732,862764033,18201599711,18200217668,997840,137017893,136764310,222955,976024906,973598853,2412409,1257101770,1232749084,24344556,238058,236010,1829,1058,734,51318,1681,973,6089806,13865975,245455064,244903739,60953568,59054009,38580088275860,43050693640009378,17844404316478,5041817840805348,4326275,17844404316307,5041817840757019,38570156907021,43044563224002762,11141494,3535.0,1040950.0,1919835.0,1077225561.0,76060.0,100.0,208.0,0.0,0.0,63012.0,58127.0,45.0,45.0,551.0,551.0,398937.0,314693.0,83349.0,6377302.0,6377123.0,171.0,233665.0,233045.0,592.0,80892.0,80461.0,323.0,2052180.0,1988098.0,64074.0,22752.0,4801003.0,4800987.0,6.0,202901.0,198347.0,4195.0,0.0,91.0,91.0,0.0,15.0,0.0,1.0,1.0,0.0,1347.0,386.0,8356.0,3535.0,28.0,27.0
2026-06-02 13:18:01,657950,136430,116,661698,662512,138149,524363,6768515975,4991371965225,15151,4659009,2057741453,1193313690,862845783,18204239866,18202857610,997984,137037379,136783747,222994,976111338,973684904,2412792,1257296024,1232939283,24348601,238135,236087,1829,1058,734,51334,1681,973,6090187,13867224,245481099,244929710,60960258,59060140,38587286306292,43058898376467151,17847117591940,5042616286320238,4327354,17847117591773,5042616286286602,38577353067474,43052766903244641,11144226,2732.0,911773.0,1871549.0,1058524535.0,162699.0,181.0,228.0,0.0,0.0,62828.0,57954.0,45.0,45.0,537.0,537.0,393348.0,311000.0,82086.0,6305830.0,6305644.0,130.0,225384.0,224799.0,560.0,86450.0,86047.0,284.0,2037128.0,1972670.0,64451.0,22487.0,4739125.0,4739134.0,6.0,194586.0,190199.0,4040.0,0.0,77.0,77.0,0.0,16.0,0.0,0.0,0.0,0.0,1269.0,380.0,5618.0,2731.0,17.0,46.0
2026-06-02 13:33:01,657171,136278,114,660921,661737,138026,523711,6769687991,4992185781583,15120,4645421,2057937269,1193427306,862927737,18206858157,18205475694,998127,137056675,136802993,223037,976194399,973767594,2413163,1257482751,1233122207,24352402,238225,236175,1831,1058,734,51348,1681,973,6090536,13868417,245507183,244955744,60966975,59066298,38594609059973,43067253672179791,17849897762399,5043427651692216,4328818,17849897762179,5043427651647364,38584674022996,43061121154163403,11147781,3555.0,1041438.0,1799654.0,1045858873.0,100314.0,115.0,199.0,0.0,0.0,63010.0,58122.0,45.0,45.0,544.0,544.0,382558.0,300184.0,82212.0,6231254.0,6231076.0,122.0,217694.0,217140.0,541.0,83059.0,82682.0,286.0,1988297.0,1925180.0,63114.0,22162.0,4671907.0,4671895.0,3.0,187028.0,182926.0,3797.0,2.0,88.0,90.0,0.0,14.0,0.0,0.0,0.0,0.0,1206.0,346.0,5263.0,3555.0,7.0,17.0
2026-06-02 13:48:01,656813,135716,89,660578,661395,137357,524038,6770894138,4993029494520,14397,4613555,2058129172,1193537351,863009328,18209417837,18208035137,998285,137075257,136821521,223081,976275057,973847861,2413551,1257661801,1233297407,24356259,238320,236270,1831,1058,734,51361,1681,973,6090861,13869484,245533092,244981610,60973642,59072426,38601907569226,43075585907799549,17852672408586,5044239488105326,4330583,17852672408410,5044239488067107,38591970728730,43069452320516086,11150646,2865.0,771864.0,1805965.0,1070467182.0,65672.0,66.0,197.0,0.0,0.0,62553.0,57695.0,44.0,44.0,526.0,526.0,370947.0,288894.0,81851.0,6122949.0,6122790.0,109.0,208418.0,207885.0,520.0,80625.0,80258.0,281.0,1952615.0,1892688.0,59930.0,20700.0,4601277.0,4601260.0,0.0,179385.0,175205.0,3847.0,0.0,95.0,95.0,0.0,13.0,0.0,0.0,0.0,0.0,1079.0,320.0,7617.0,2864.0,0.0,8.0
2026-06-02 14:03:01,655575,135214,87,659415,660229,136885,523344,6772012840,4993832979976,14264,4588577,2058325671,1193651576,863091210,18211946461,18210563461,998414,137094165,136840301,223123,976360498,973932932,2413921,1257836509,1233468429,24359936,238405,236355,1831,1058,734,51378,1681,973,6091209,13870549,245559197,245007639,60980280,59078502,38609252411743,43083984958570487,17855473554861,5045057667818339,4332396,17855473554722,5045057667777696,38599313872046,43077850349884140,11153712,3066.0,1015077.0,1701206.0,1022781551.0,72657.0,95.0,232.0,0.0,0.0,63046.0,58140.0,46.0,46.0,550.0,550.0,371183.0,288731.0,82214.0,6118613.0,6118358.0,153.0,204380.0,203751.0,518.0,85433.0,85066.0,276.0,1948724.0,1889830.0,58891.0,20046.0,4616467.0,4616469.0,1.0,174985.0,171021.0,3678.0,0.0,85.0,85.0,0.0,17.0,0.0,0.0,0.0,0.0,1080.0,346.0,6332.0,3066.0,1.0,136.0
