Time,Active PDP contexts,Active EPS bearers,Active IPv6 PDP contexts,Active IPv6 EPS bearers,PDP creations, Failed,IPv6 PDP creations, Failed.1,EPS bearer creations, Failed.3,IPv6 EPS bearer creations, Failed.4,Dedicated EPS bearer creations, Failed.5,Dedicated IPv6 EPS bearer creations, Failed.6,PDP updates, Failed.7,EPS bearer modifications, Failed.8,PDP deactivations, Failed.9,PDP deletions by idle-supervision,PDP deletions by session-supervision,PDP deletions by user command,EPS bearer deactivations, Failed.10,Active subscribers,Packets,Bytes,Dropped packets,Packets for IPv6,Bytes for IPv6,Dropped packets for IPv6,Packets.1,Bytes.1,Dropped packets.1,Packets for IPv6.1,Bytes for IPv6.1,Dropped packets for IPv6.1,Traffic flow template filters,Failed RADIUS Accounting procedures,Active DT contexts,Percentage active DT contexts out of active PDP contexts,Total successful DT establishments,Total requests for DT establishments,DT RNC error indications
2026-06-02 11:33:01,44853,648973,8177,147004,125008465,151441445,10100379,222060,1182785572,1219733390,229914573,6947,235471,1854,151200,264,2591697775,1075292,19343240429,19581,171341977,4598585,35132528,69488,0,2321313266,1093554,690191,18113709315036,4919679030972221,607278872607,1916087133212,688475461566209,51467795003,40071713403110,44511751568558316,3630353879602,5275300913775,5823340477545800,12468979530,10178,106388917,24325,54,960298256,960329310,625958
2026-06-02 11:48:02,45082,649139,8228,147183,125020938,151459502,10101883,222084,1182892554,1219847401,229938118,6948,235591,1854,151293,264,2592143270,1075446,19346114130,19582,171364632,4599486,35135861,69494,0,2321520529,1093801,690504,18116342886169,4920471521463910,607315765538,1916407011626,688592184327212,51477223926,40078568932453,44519461265078690,3630384210582,5276166443106,5824280881666225,12470354863,10154,106400967,24504,54,960462830,960493893,626059
2026-06-02 12:03:01,45465,648603,8342,146891,125033778,151478031,10103409,222107,1183003404,1219961695,229961818,6949,235715,1854,151386,264,2592594610,1075582,19349032869,19582,171387859,4600393,35139033,69504,0,2321732448,1093999,690245,18119036742300,4921271610424801,607353284043,1916737264905,688712194122264,51486703466,40085588858371,44527373963211158,3630414826351,5277057958743,5825253316574170,12471771787,10166,106413862,24711,54,960630242,960661310,626160
2026-06-02 12:18:01,45393,649678,8416,147196,125047181,151496451,10105041,222141,1183119159,1220075699,229986050,6950,235801,1855,151457,264,2593049644,1075732,19352001317,19583,171411770,4601293,35142247,69509,0,2321947643,1094213,691120,18121758108611,4922070518375674,607389622305,1917069427901,688832819854149,51496121628,40092680993210,44535366461536481,3630443309068,5277953054909,5826226605571008,12473158062,10166,106428954,24784,55,960799570,960830653,626251
2026-06-02 12:33:02,44816,649882,8208,147360,125060057,151515434,10106563,222187,1183228967,1220189161,230009948,6950,235920,1856,151545,264,2593490705,1075872,19354948287,19586,171434913,4602144,35145577,69514,0,2322157870,1094427,690625,18124505462546,4922875214846932,607445892788,1917397839025,688950397510215,51505460657,40099842419918,44543447743221826,3630472409072,5278842923243,5827197480416050,12474545357,10138,106444734,24491,55,960963870,960994960,626364
2026-06-02 12:48:01,44125,649606,7952,147417,125072888,151534823,10108103,222234,1183336042,1220302486,230032891,6951,236028,1856,151621,264,2593914975,1076015,19357809816,19587,171457530,4603012,35148916,69524,0,2322366215,1094632,689618,18127256775358,4923692094588899,607513873562,1917722044221,689066060265025,51514817679,40107021127477,44551560827932494,3630501438838,5279732381243,5828168474816005,12475962598,10170,106461893,24148,55,961123228,961154334,626468
2026-06-02 13:03:02,43474,649919,7730,147439,125086963,151554036,10109642,222272,1183447271,1220416308,230056249,6952,236117,1856,151682,264,2594326101,1076156,19360648914,19587,171481366,4603825,35152296,69529,0,2322578627,1094862,689264,18130051539537,4924513138781280,607560279604,1918050647824,689182165380320,51524176372,40114341064777,44559848917505031,3630530417602,5280634271685,5829154049868300,12477376426,10166,106478163,23882,55,961277432,961308545,626558
2026-06-02 13:18:01,42886,648943,7608,146769,125099774,151573085,10111165,222299,1183562702,1220529626,230079631,6956,236197,1856,151737,264,2594726372,1076295,19363461584,19589,171503571,4604623,35155703,69540,0,2322796265,1095034,687579,18132876671587,4925328509084025,607603748675,1918384231848,689298899978231,51533135001,40121802579486,44568307844577829,3630559388241,5281555314309,5830162366378921,12478704658,10194,106496776,23616,55,961428823,961459942,626661
2026-06-02 13:33:01,42507,648315,7386,146437,125112431,151592196,10112675,222335,1183675034,1220642572,230103553,6957,236285,1858,151789,264,2595113826,1076446,19366241926,19589,171525345,4605371,35159183,69548,0,2323010102,1095234,686558,18135750234748,4926152815750578,607660815227,1918721333875,689417513886560,51541541637,40129383971818,44576914927233149,3630588072901,5282487413288,5831185744569591,12479942336,10262,106513269,23482,55,961575619,961606745,626774
2026-06-02 13:48:01,41507,648363,7127,146288,125124858,151611763,10114081,222372,1183784325,1220756003,230126670,6957,236379,1858,151858,264,2595488775,1076589,19368972795,19592,171546448,4606073,35162707,69555,0,2323221705,1095435,685566,18138636512061,4926983393562460,607716699108,1919056880038,689534060605866,51549845447,40136985711487,44585549869700044,3630615943879,5283416185886,5832207898639428,12481223851,10224,106530675,22863,55,961717507,961748638,626888
