Time,sgwGtpTunnelMgmtS4S11-smCreateSessionReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta,sgwGtpTrafficS5S8-inDataByte,sgwGtpTrafficS5S8-outDataByte,sgwGtpTrafficS1uS4S12-inDataByte,sgwGtpTrafficS1uS4S12-outDataByte,sgwUplinkTraffic-sgwUplinkDroppedPackets__delta,sgwDownlinkTraffic-sgwDownlinkDroppedPackets__delta,sgwGtpTrafficS5S8-inDataPkt,sgwGtpTrafficS5S8-outDataPkt,sgwGtpTrafficS1uS4S12-inDataPkt,sgwGtpTrafficS1uS4S12-outDataPkt,session_success_rate,session_failure_rate,bearer_modification_failure_rate,total_traffic,packet_drop_rate,suspended_ue_ratio,idle_bearer_ratio,connected_ue_ratio
2026-06-02 11:48:02,417468.0,335107.0,82147.0,6467871.0,149.0,43011569845690427,5037852164438298,5037852164400607,43005444797983494,1542.0,1969141.0,38545632450971,17831232876341,17831232876188,38535710863583,0.8027130223154829,0.1967743635440321,2.3036946778932358e-05,96092718972512826,1.7479301225554975e-08,0.0001956113309000699,0.7954115912934177,0.20341758773319826
2026-06-02 12:03:01,420258.0,337819.0,82224.0,6478600.0,169.0,43019223343015460,5038635228964667,5038635228913668,43013097180031330,2453.0,2033230.0,38552383058483,17833806256685,17833806256522,38542459437834,0.8038371666928411,0.19565124280798937,2.6085882752446517e-05,96109590980925125,1.8052843917135938e-08,0.00019880263147910676,0.7919850033630833,0.20677750039836404
2026-06-02 12:18:01,428556.0,345674.0,82672.0,6588220.0,137.0,43027002521942314,5039421132022531,5039421131974486,43020875270161882,1519.0,2010330.0,38559244354684,17836416923824,17836416923626,38549318725723,0.8066017043280225,0.19290827803134247,2.0794691130532983e-05,96126720056101213,1.7838482717915985e-08,0.00018491712832793993,0.7900300135686028,0.20877143788224417
2026-06-02 12:33:02,411496.0,329744.0,81557.0,6510003.0,151.0,43034806539426453,5040209381956653,5040209381929991,43028678255708034,2478.0,1928436.0,38566120461576,17839055017826,17839055017681,38556192905320,0.8013297820634951,0.1981963372669479,2.3195073796432968e-05,96143903559021131,1.7117967661448205e-08,0.00016673614005835764,0.7919891212519595,0.2068225396945697
2026-06-02 12:48:01,399026.0,317032.0,81811.0,6386132.0,161.0,43042653493690846,5041009872046686,5041009872012611,43036524154530853,2351.0,1895467.0,38573024473293,17841714270547,17841714270405,38563095022869,0.7945146431560851,0.20502674011217314,2.5210878823049697e-05,96161197392280996,1.6821712487056578e-08,0.0001623103282460928,0.7935004385079278,0.20524975312143998
2026-06-02 13:03:02,398937.0,314693.0,83349.0,6377302.0,171.0,43050693640009378,5041817840805348,5041817840757019,43044563224002762,3535.0,1919835.0,38580088275860,17844404316478,17844404316307,38570156907021,0.7888288125694032,0.2089277254303311,2.6813846984194883e-05,96178892545574507,1.7045251045281e-08,0.00016384340211722084,0.7899413322241763,0.20887303046577038
2026-06-02 13:18:01,393348.0,311000.0,82086.0,6305830.0,130.0,43058898376467151,5042616286320238,5042616286286602,43052766903244641,2732.0,1871549.0,38587286306292,17847117591940,17847117591773,38577353067474,0.790648484293806,0.20868543884804294,2.0615842799441153e-05,96196897852318632,1.6607298339178717e-08,0.00017630519036400941,0.7914769845678267,0.20735618208070522
2026-06-02 13:33:01,382558.0,300184.0,82212.0,6231254.0,122.0,43067253672179791,5043427651692216,5043427651647364,43061121154163403,3555.0,1799654.0,38594609059973,17849897762399,17849897762179,38584674022996,0.7846757877236916,0.21490074707626033,1.9578723640538484e-05,96215230129682774,1.5974696305498005e-08,0.00017347083179263843,0.7914186451717223,0.20737068434243142
2026-06-02 13:48:01,370947.0,288894.0,81851.0,6122949.0,109.0,43075585907799549,5044239488105326,5044239488067107,43069452320516086,2865.0,1805965.0,38601907569226,17852672408586,17852672408410,38591970728730,0.7788012842805037,0.2206541635327958,1.7801879453838338e-05,96233517204488068,1.6021633719820032e-08,0.00013550279912242905,0.7923222884962844,0.20662806613145598
2026-06-02 14:03:01,371183.0,288731.0,82214.0,6118613.0,153.0,43083984958570487,5045057667818339,5045057667777696,43077850349884140,3066.0,1701206.0,38609252411743,17855473554861,17855473554722,38599313872046,0.7778669820546739,0.22149182478723434,2.5005667134038383e-05,96251950644050662,1.509280326123009e-08,0.00013270792815467337,0.7926704219293609,0.206252526408115
2026-06-02 14:18:01,369056.0,286556.0,82297.0,6084002.0,118.0,43092369832019762,5045871283446562,5045871283410961,43086234216960799,2657.0,1705458.0,38616583529361,17858247178864,17858247178707,38606643286567,0.7764566894996965,0.2229932584756785,1.939512840396831e-05,96270346615838084,1.512412977694516e-08,0.00014196587628818768,0.7936972433964266,0.2051483238104252
2026-06-02 14:33:01,359931.0,278172.0,81606.0,5998231.0,122.0,43100693417928432,5046659855712694,5046659855675428,43094556819353848,3368.0,1662049.0,38623855465108,17860985081604,17860985081453,38613913563142,0.7728481292247681,0.22672678930128273,2.0339330045808506e-05,96288569948670402,1.4743456490984577e-08,0.00012997975374188774,0.7951469632849831,0.20372567849431453
2026-06-02 14:48:01,361784.0,278786.0,82830.0,6020563.0,120.0,43109113241893321,5047465224213099,5047465224182978,43102975613327104,3392.0,1670325.0,38631209530663,17863774982600,17863774982443,38621265960681,0.7705868695133008,0.2289487650089556,1.993169077376983e-05,96307019303616502,1.4814273525244468e-08,0.00012416076519819737,0.7959736893345665,0.20282197492259113
2026-06-02 15:03:01,356445.0,275270.0,81000.0,5869996.0,127.0,43117366342967019,5048253411436664,5048253411389388,43111227716668104,2659.0,1649352.0,38638403146275,17866481578744,17866481578591,38628457927778,0.7722650058213749,0.22724403484408534,2.1635449155331623e-05,96325100882461175,1.461958911207864e-08,0.00012129177273299535,0.7952911355382778,0.2035583014238733
2026-06-02 15:18:01,366975.0,282748.0,84039.0,5931105.0,118.0,43125673038306788,5049042404448320,5049042404421657,43119533433919089,2315.0,1593039.0,38645639206223,17869190657672,17869190657508,38635692396396,0.7704830029293549,0.22900470059268344,1.9895112293577674e-05,96343291281095854,1.4115714496287261e-08,0.00010150566739976315,0.7968502519249139,0.2019624429030621
2026-06-02 15:33:01,359858.0,275763.0,83931.0,5872274.0,100.0,43133886262792873,5049825103691351,5049825103646209,43127745678461964,2837.0,1592727.0,38652786531781,17871844148564,17871844148369,38642838129464,0.7663106002923376,0.23323366438984267,1.7029178134399042e-05,96361282148592397,1.4115124714092368e-08,0.00013380909901873327,0.7975150805798146,0.20140730259312806
