feature,importance
pdc__num-cmds-aapn-ok__diff_15min,0.081923336
pgw__eps-bearer-creation-attempted__delta,0.07480176
stats__dt_error_rate__diff_15min,0.059914462
pmjob__memory_usage_rate__roll_std_1h,0.05687229
pgw__eps-bearer-creation-attempted__delta__roll_mean_1h,0.056302246
pdc__num-cmds-aapn-ok,0.051639136
pdc__num-cmds-mapn-ok,0.04176079
pgw__pdp-created__delta,0.032825727
stats__Failed RADIUS Accounting procedures__roll_std_1h,0.028083304
pdc__num-cmds-default-ok,0.026069025
sgw__sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta__roll_std_1h,0.025140624
sgw__sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta__roll_mean_1h,0.021828614
sgw__sgwGtpTunnelMgmtS4S11-smCreateSessionReqRcvd__delta__roll_std_1h,0.021455161
pgw__downlink_dropped-packets__delta,0.020196505
pdc__num-cmds-mapn-ok__diff_15min,0.019177621
sgw__sgwUplinkTraffic-sgwUplinkDroppedPackets__delta,0.018692844
pgw__drop_rate_dl,0.016096996
pgw__eps-bearer-creation__delta__roll_mean_1h,0.0154615445
stats__DT RNC error indications__roll_std_1h,0.013824429
sgw__sgwGtpTrafficS5S8-inDataByte__diff_15min,0.013069975
pdc__time-default__diff_15min,0.012902443
pmjob__cpu_mean__roll_std_1h,0.012789191
sgw__sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta__diff_15min,0.01208599
pdc__num-cmds-default-ok__diff_15min,0.011638527
sgw__sgwGtpTrafficS5S8-inDataByte,0.011522147
stats__ Failed.7__roll_std_1h,0.010745545
cal__est_weekend,0.010250694
stats__dt_error_rate__roll_std_1h,0.009388284
cal__heure_cos,0.008138533
sgw__idle_bearer_ratio__roll_std_1h,0.007956804
pdc__num-cmds-default-ok__roll_mean_1h,0.00752496
stats__pdp_success_rate__roll_std_1h,0.007453787
sgw__sgwUplinkTraffic-sgwUplinkDroppedPackets__delta__roll_mean_1h,0.0072701457
pgw__downlink_bytes__delta,0.0070733298
pmjob__memory_usage_rate,0.0070292708
pgw__pdp-active__diff_15min,0.006860615
sgw__sgwUplinkTraffic-sgwUplinkDroppedPackets__delta__roll_std_1h,0.0067024105
pdc__time-default__roll_mean_1h,0.006665899
pdc__time-default,0.0063485336
pgw__subscriber-count,0.0060699624
sgw__sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta,0.0060668746
pmjob__cpu_max,0.0059765256
sgw__sgwGtpTrafficS5S8-inDataByte__roll_std_1h,0.0057270415
pdc__num-cmds-mapn-ok__roll_mean_1h,0.005499145
pmjob__memory_usage_rate__diff_15min,0.0054029287
pgw__eps-bearer-creation__delta,0.004947967
pgw__eps-bearer-creation-attempted__delta__roll_std_1h,0.0043889126
pdc__num-cmds-aapn-ok__roll_mean_1h,0.004146177
pmjob__cpu_max__diff_15min,0.003863369
pgw__eps-active-ipv6-bearer,0.0037433684
cal__heure,0.0032694782
stats__pdp_success_rate__diff_15min,0.0031388788
sgw__sgwGtpTunnelMgmtS4S11-smModifyBearerReqRcvd__delta__diff_15min,0.003093285
sgw__sgwGtpTunnelMgmtS4S11-smCreateSessionReqRcvd__delta__diff_15min,0.0030806083
pgw__pdp-create-failed__delta,0.0030373938
sgw__sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta__roll_std_1h,0.003028157
pgw__eps-bearer-creation-failed__delta,0.0029065588
stats__packet_drop_rate,0.0026522144
sgw__idle_bearer_ratio__diff_15min,0.002599395
pdc__time-aapn__roll_std_1h,0.0024220154
pgw__downlink_dropped-packets__delta__roll_std_1h,0.0022781412
pgw__eps_success_rate,0.0019850263
stats__deactivation_failure_rate__roll_std_1h,0.0019141476
pdc__tot-run-time__roll_std_1h,0.001746264
pgw__eps-bearer-creation-failed__delta__diff_15min,0.0017358793
